uri,tag_name
1227354732798316544,Disgusto
1227354732798316544,Contenuto
1227349835843538945,Incomprensibile
1227283320452481026,Gioia
1227283320452481026,Contenuto
1227283320452481026,Citazione
1227362826932641792,Incomprensibile
1227365178913820672,Gioia
1227365178913820672,Sorpresa
1227365178913820672,Contenuto
1227365178913820672,Citazione
1227367293493161986,Rabbia
1227367293493161986,Contenuto
1227322682884141057,Amore
1227322682884141057,Contenitore
1227336692203499531,Disgusto
1227336692203499531,Sorpresa
1227336692203499531,Ironia
1227336692203499531,Contenitore
1227363268546748417,Gioia
1227363268546748417,Contenuto
1227363268546748417,Citazione
1227342773109579779,Disgusto
1227342773109579779,Ironia
1227342773109579779,Contenuto
1227335771423678466,Fiducia
1227335771423678466,Contenitore
1227361773067685888,Incomprensibile
1227355886215188480,Incomprensibile
1227355234554515456,Amore
1227355234554515456,Contenitore
1227367326531686400,Amore
1227367326531686400,Contenitore
1227355101226061825,Incomprensibile
1227362734087528448,Neutro
1227362734087528448,Contenitore
1227339754661957635,Disgusto
1227339754661957635,Ironia
1227339754661957635,Sarcasmo
1227339754661957635,Contenitore
1227362273544605703,Fiducia
1227362273544605703,Anticipazione
1227362273544605703,Contenitore
1227339728044937219,Disgusto
1227339728044937219,Ironia
1227339728044937219,Contenuto
1227342975036002304,Gioia
1227342975036002304,Contenuto
1227342975036002304,Citazione
1227339762803101703,Amore
1227339762803101703,Contenitore
1227357857970081792,Neutro
1227357857970081792,Ironia
1227357857970081792,Contenuto
1227344235680161797,Neutro
1227344235680161797,Contenuto
1227348428327444480,Gioia
1227348428327444480,Sorpresa
1227348428327444480,Ironia
1227348428327444480,Contenuto
1227365071745159169,Neutro
1227365071745159169,Contenuto
1227365071745159169,Citazione
1227329971795963910,Disgusto
1227329971795963910,Ironia
1227329971795963910,Contenuto
1227344871012421637,Disgusto
1227344871012421637,Contenitore
1227368068701212673,Neutro
1227368068701212673,Contenuto
1227356790351941633,Neutro
1227360196621668354,Disgusto
1227360196621668354,Contenitore
1227370925873561600,Neutro
1227370925873561600,Contenitore
1227352647323267074,Gioia
1227352647323267074,Sorpresa
1227340492003782656,Amore
1227357558530363392,Incomprensibile
1227343321879777284,Sorpresa
1227343321879777284,Ironia
1227343321879777284,Contenitore
1227365416214966273,Fiducia
1227365416214966273,Ironia
1227365416214966273,Contenuto
1227330372255522817,Fiducia
1227330372255522817,Amore
1227330372255522817,Contenitore
1227353789658693632,Rabbia
1227353789658693632,Contenitore
1227341235498758150,Neutro
1227341235498758150,Ironia
1227364779926401025,Fiducia
1227364779926401025,Contenitore
1227333052969422848,Fiducia
1227333052969422848,Contenitore
1227343237289037827,Gioia
1227343237289037827,Contenitore
1227343237289037827,Citazione
1227333816035004416,Disgusto
1227333816035004416,Contenuto
1227354837119066112,Disgusto
1227354837119066112,Sorpresa
1227354837119066112,Contenuto
1227337515008495619,Incomprensibile
1227326557695479811,Anticipazione
1227326557695479811,Contenitore
1227369924147974144,Amore
1227369924147974144,Contenitore
1227401018457174016,Neutro
1227356441889136640,Neutro
1227358957783724032,Incomprensibile
1227371047739121665,Neutro
1227371047739121665,Ironia
1227371047739121665,Contenitore
1227339345381773312,Fiducia
1227339345381773312,Contenitore
1227353060139323392,Sorpresa
1227353060139323392,Contenuto
1227356740288565248,Amore
1227356740288565248,Contenitore
1227288882150039555,Neutro
1227288882150039555,Contenitore
1227331234679926786,Incomprensibile
1227333871156506627,Disgusto
1227333871156506627,Contenitore
1227329603548721155,Neutro
1227329603548721155,Contenitore
1227329317094461442,Anticipazione
1227329317094461442,Contenitore
1227367868200820736,Neutro
1227367868200820736,Ironia
1227367868200820736,Contenuto
1227351351178465280,Incomprensibile
1227356284888002560,Neutro
1227356284888002560,Ironia
1227356284888002560,Contenuto
1227352895324073985,Amore
1227352895324073985,Contenitore
1227352427227205633,Fiducia
1227352427227205633,Tristezza
1227344440047611905,Neutro
1227344440047611905,Ironia
1227344440047611905,Contenuto
1227327480912130048,Anticipazione
1227327480912130048,Paura
1227327480912130048,Contenitore
1227329807236681730,Neutro
1227369284432793600,Neutro
1227369284432793600,Contenitore
1227347650506260482,Neutro
1227347650506260482,Contenitore
1227334515753979904,Incomprensibile
1227358848362721285,Fiducia
1227358848362721285,Contenitore
1227398669688877056,Neutro
1227398669688877056,Contenitore
1227365242654646272,Gioia
1227365242654646272,Contenuto
1227365242654646272,Citazione
1227330789257416707,Amore
1227330789257416707,Contenitore
1227336269669261313,Sorpresa
1227336269669261313,Contenitore
1227367962807545860,Amore
1227367962807545860,Gioia
1227367962807545860,Contenuto
1227336335972851713,Amore
1227336335972851713,Contenitore
1227344020202041344,Amore
1227344020202041344,Contenuto
1227344020202041344,Citazione
1227336770162958336,Incomprensibile
1227335293482786816,Neutro
1227335293482786816,Ironia
1227335293482786816,Contenuto
1227335293482786816,Citazione
1227340129028759553,Neutro
1227340129028759553,Contenitore
1227331657717501956,Incomprensibile
1227329301965680641,Gioia
1227329301965680641,Anticipazione
1227329301965680641,Contenitore
1227353576307089408,Gioia
1227353576307089408,Contenuto
1227383470839795714,Disgusto
1227383470839795714,Ironia
1227383470839795714,Contenuto
1227314821462401030,Anticipazione
1227314821462401030,Contenitore
1227325402164715520,Neutro
1227325402164715520,Contenitore
1227374561043324928,Amore
1227374561043324928,Contenitore
1227358847121186823,Fiducia
1227358847121186823,Amore
1227358847121186823,Contenitore
1227333786829979653,Neutro
